participant_id,allocation_row,cycle,permutation_id
P001,1,1,perm_01
P002,2,1,perm_02
P003,3,1,perm_03
P004,4,1,perm_04
P005,5,1,perm_05
P006,6,1,perm_06
P007,7,1,perm_07
P008,8,1,perm_08
P009,9,1,perm_09
P010,10,1,perm_10
P011,11,1,perm_11
P012,12,1,perm_12
P013,13,1,perm_13
P014,14,1,perm_14
P015,15,1,perm_15
P016,16,1,perm_16
P017,17,1,perm_17
P018,18,1,perm_18
P019,19,1,perm_19
P020,20,1,perm_20
P021,21,1,perm_21
P022,22,1,perm_22
P023,23,1,perm_23
P024,24,1,perm_24
P025,25,2,perm_01
P026,26,2,perm_02
P027,27,2,perm_03
P028,28,2,perm_04
P029,29,2,perm_05
P030,30,2,perm_06
P031,31,2,perm_07
P032,32,2,perm_08
P033,33,2,perm_09
P034,34,2,perm_10
P035,35,2,perm_11
P036,36,2,perm_12
P037,37,2,perm_13
P038,38,2,perm_14
P039,39,2,perm_15
P040,40,2,perm_16
P041,41,2,perm_17
P042,42,2,perm_18
P043,43,2,perm_19
P044,44,2,perm_20
P045,45,2,perm_21
P046,46,2,perm_22
P047,47,2,perm_23
P048,48,2,perm_24
P049,49,3,perm_01
P050,50,3,perm_02
P051,51,3,perm_03
P052,52,3,perm_04
P053,53,3,perm_05
P054,54,3,perm_06
P055,55,3,perm_07
P056,56,3,perm_08
P057,57,3,perm_09
P058,58,3,perm_10
P059,59,3,perm_11
P060,60,3,perm_12
P061,61,3,perm_13
P062,62,3,perm_14
P063,63,3,perm_15
P064,64,3,perm_16
P065,65,3,perm_17
P066,66,3,perm_18
P067,67,3,perm_19
P068,68,3,perm_20
P069,69,3,perm_21
P070,70,3,perm_22
P071,71,3,perm_23
P072,72,3,perm_24
P073,73,4,perm_01
P074,74,4,perm_02
P075,75,4,perm_03
P076,76,4,perm_04
P077,77,4,perm_05
P078,78,4,perm_06
P079,79,4,perm_07
P080,80,4,perm_08
P081,81,4,perm_09
P082,82,4,perm_10
P083,83,4,perm_11
P084,84,4,perm_12
P085,85,4,perm_13
P086,86,4,perm_14
P087,87,4,perm_15
P088,88,4,perm_16
P089,89,4,perm_17
P090,90,4,perm_18
P091,91,4,perm_19
P092,92,4,perm_20
P093,93,4,perm_21
P094,94,4,perm_22
P095,95,4,perm_23
P096,96,4,perm_24
P097,97,5,perm_01
P098,98,5,perm_02
P099,99,5,perm_03
P100,100,5,perm_04
